RHS,R,G,B,L,a,b,L2,C,h
1A,233,228,93,89,-14,64,89,66,103
1B,229,228,109,88,-15,57,88,59,105
1C,235,234,159,91,-10,36,91,37,106
1D,242,236,177,93,-7,29,93,29,103
2A,244,229,85,90,-11,69,90,69,99
2B,240,231,110,90,-12,59,90,60,101
2C,243,239,164,93,-9,36,93,37,104
2D,244,234,184,93,-4,25,92,25,99
3A,247,230,86,90,-10,69,90,70,98
3B,243,231,103,91,-11,62,91,63,100
3C,245,235,144,92,-9,45,92,45,101
3D,248,238,170,94,-6,34,94,34,101
4A,247,232,113,91,-9,58,91,59,99
4B,248,238,139,93,-10,48,93,49,101
4C,246,236,163,93,-7,36,93,36,101
4D,248,235,201,93,-1,17,93,17,92
5A,246,225,81,89,-8,70,89,70,97
5B,250,230,89,91,-9,68,91,69,97
5C,249,234,126,92,-8,53,92,54,99
5D,249,233,166,92,-4,34,92,34,96
6A,253,226,71,90,-6,74,90,74,95
6B,253,227,84,90,-6,70,90,70,95
6C,253,229,106,91,-6,61,91,61,95
6D,250,232,157,92,-4,38,92,38,96
7A,246,215,60,86,-5,75,86,75,93
7B,251,223,91,89,-5,66,89,66,94
7C,252,228,97,90,-6,65,90,65,96
7D,248,232,128,91,-8,52,91,52,98
8A,253,227,99,90,-5,64,90,64,95
8B,253,230,127,91,-5,52,91,52,95
8C,251,231,158,92,-3,37,92,38,95
8D,247,233,196,93,-1,19,93,19,92
9A,255,222,56,89,-4,78,89,78,93
9B,255,223,76,89,-4,72,89,72,93
9C,255,229,118,91,-4,56,91,56,94
9D,250,231,174,92,-1,29,92,29,93
10A,252,225,119,90,-3,54,90,54,93
10B,250,226,136,90,-3,46,90,46,94
10C,249,228,156,91,-2,37,91,37,94
10D,249,233,190,93,-1,22,93,22,92
11A,249,213,104,86,0,57,86,57,90
11B,246,218,142,88,0,40,88,40,90
11C,247,224,173,90,1,27,90,27,88
11D,248,232,210,93,3,12,93,12,79
12A,257,217,67,88,0,74,88,74,90
12B,256,224,97,90,-3,64,90,64,92
12C,253,225,137,90,-1,46,90,46,92
12D,253,228,176,92,1,28,91,28,87
13A,260,208,60,86,6,74,86,75,86
13B,258,213,85,87,3,66,87,66,87
13C,256,219,112,88,1,56,88,56,89
13D,250,229,186,92,1,23,92,23,87
14A,260,204,27,85,7,82,85,83,86
14B,260,206,45,85,6,79,85,79,86
14C,258,218,115,89,2,55,89,55,88
14D,252,223,157,90,1,35,90,35,88
15A,260,198,53,83,10,75,83,75,82
15B,261,208,78,86,7,68,86,69,85
15C,261,209,91,86,7,63,86,63,84
15D,258,220,136,89,3,45,89,45,86
16A,263,201,73,85,10,69,85,70,81
16B,262,211,111,87,7,55,87,55,82
16C,259,217,129,89,5,48,88,48,85
16D,253,223,162,90,3,33,90,33,86
17A,256,181,-14,79,16,83,79,84,79
17B,265,196,26,83,13,82,83,83,81
17C,263,202,54,85,9,76,85,76,83
17D,257,213,123,87,5,50,87,50,84
18A,260,215,124,88,6,50,88,50,84
18B,257,222,166,90,5,31,90,31,81
18C,253,227,190,92,4,21,91,21,80
18D,252,227,190,91,3,21,91,21,81
19A,264,206,114,86,11,53,86,54,78
19B,258,215,160,89,8,32,88,33,76
19C,255,220,172,90,6,27,90,28,78
19D,252,227,204,92,6,13,92,14,68
20A,250,190,88,81,12,58,81,59,79
20B,259,209,130,87,9,45,86,46,79
20C,255,215,166,88,8,29,88,30,75
20D,257,224,197,91,7,17,91,18,65
21A,260,183,30,80,18,78,80,80,77
21B,256,188,63,81,14,68,81,70,78
21C,264,199,89,84,13,62,84,63,78
21D,261,207,127,86,10,46,86,47,78
22A,241,170,77,75,18,56,75,59,72
22B,256,198,119,84,13,46,83,48,75
22C,257,203,135,85,12,40,85,42,74
22D,260,211,151,87,10,35,87,37,74
23A,264,174,25,78,24,78,78,81,73
23B,265,185,77,81,20,64,81,67,73
23C,260,196,119,84,15,47,84,49,72
23D,255,215,175,88,9,24,88,26,70
24A,264,163,60,76,30,65,76,72,65
24B,263,177,89,79,24,56,79,61,67
24C,263,194,136,84,18,38,84,42,64
24D,257,205,162,86,13,28,86,31,65
25A,261,146,57,72,37,63,72,73,59
25B,265,166,74,77,30,60,77,67,64
25C,265,175,103,79,26,49,79,56,62
25D,262,199,155,85,18,30,85,35,60
N25A,238,117,46,63,43,57,63,72,53
N25B,257,142,38,70,37,68,70,78,61
N25C,261,153,21,73,33,75,73,82,66
N25D,256,175,32,77,20,76,77,78,75
26A,241,145,70,69,31,53,69,61,60
26B,249,165,96,75,25,47,75,53,62
26C,247,179,135,78,20,32,78,38,58
26D,245,188,155,81,17,24,81,29,55
27A,254,210,185,87,12,17,87,21,55
27B,256,217,201,90,12,12,90,17,46
27C,252,221,213,91,10,7,90,12,35
27D,249,223,215,91,8,7,91,10,38
28A,241,116,48,63,44,57,63,72,52
28B,260,139,61,70,41,59,70,72,55
28C,262,172,114,78,28,42,78,51,57
28D,260,187,143,82,22,32,82,38,56
29A,260,161,105,75,32,44,75,54,54
29B,259,172,129,78,28,34,78,44,51
29C,262,195,167,84,21,23,84,31,48
29D,258,214,198,89,13,13,89,18,44
30A,250,118,77,65,48,46,65,66,43
30B,258,125,71,67,47,52,67,70,47
30C,252,129,68,67,43,53,67,68,51
30D,259,146,89,72,38,48,72,61,51
N30A,228,73,49,54,59,47,53,75,38
N30B,251,102,56,62,55,53,62,76,44
N30C,253,113,50,64,50,58,64,77,49
N30D,255,127,41,67,44,64,67,78,55
31A,230,113,73,61,43,43,61,60,45
31B,238,130,91,66,38,39,66,54,45
31C,235,149,123,70,30,27,70,40,42
31D,247,167,146,76,27,22,76,35,39
32A,242,97,60,60,54,48,60,72,42
32B,252,122,80,66,47,45,66,65,44
32C,252,143,103,70,38,38,70,54,45
32D,256,171,143,78,29,26,78,39,43
33A,232,77,58,55,59,44,55,73,37
33B,238,101,65,60,51,45,60,68,42
33C,253,137,105,69,42,36,69,55,41
33D,255,173,153,78,28,22,78,36,38
34A,208,73,62,50,53,35,50,64,34
34B,208,93,74,54,45,33,54,55,36
34C,222,107,84,59,43,34,59,55,38
34D,225,138,115,66,31,26,66,40,40
N34A,160,56,61,39,44,20,39,48,25
N34B,217,81,64,53,53,37,53,65,36
N34C,200,95,95,53,42,20,53,47,25
N34D,213,109,94,58,40,27,58,48,34
35A,221,99,80,57,47,34,57,57,36
35B,229,120,102,63,41,29,63,50,35
35C,229,146,135,69,30,18,69,35,31
35D,238,170,164,76,25,12,76,27,27
36A,252,196,187,84,19,12,84,22,31
36B,250,204,200,86,16,7,86,17,25
36C,254,210,209,88,16,6,88,17,19
36D,252,223,221,91,10,4,91,11,20
37A,239,134,120,67,39,24,67,46,32
37B,245,156,147,73,32,18,73,37,29
37C,249,177,171,79,26,13,79,29,26
37D,252,189,185,82,23,10,82,25,24
38A,255,148,144,73,40,19,73,44,25
38B,250,172,170,78,29,12,78,31,23
38C,257,184,178,81,26,13,81,29,26
38D,254,202,201,86,19,7,86,20,20
39A,222,90,89,56,52,27,56,58,27
39B,232,116,114,62,45,22,62,50,26
39C,243,170,167,77,27,12,77,29,23
39D,253,189,189,82,23,8,82,25,19
40A,238,79,62,56,61,44,56,75,36
40B,241,88,66,58,58,43,58,72,37
40C,247,102,86,62,55,37,62,66,34
40D,256,124,100,67,48,36,67,60,37
41A,233,81,70,56,58,38,56,70,33
41B,235,93,85,58,55,33,58,64,31
41C,255,126,115,68,49,28,67,56,31
41D,252,144,138,71,40,20,71,45,27
42A,199,58,58,46,56,33,46,65,30
42B,205,80,71,51,50,31,51,58,32
42C,222,89,77,55,52,33,55,61,33
42D,221,110,98,59,43,26,59,50,32
43A,209,63,62,49,57,34,49,66,30
43B,231,80,75,55,59,35,55,68,31
43C,237,97,100,60,55,26,60,61,25
43D,253,144,145,72,42,17,72,45,22
44A,205,62,56,48,56,36,48,67,33
44B,215,61,55,50,60,39,50,71,33
44C,229,85,77,56,55,34,56,65,32
44D,236,107,103,61,50,26,61,56,28
45A,179,52,60,42,52,25,42,57,26
45B,191,38,59,43,60,27,43,66,24
45C,203,62,73,48,56,25,48,62,24
45D,210,72,88,51,55,21,51,59,20
46A,156,51,62,38,45,18,38,48,21
46B,184,41,58,41,57,26,41,62,24
46C,208,56,74,48,60,26,48,65,23
46D,215,77,91,52,56,21,52,59,21
47A,186,69,80,46,48,18,46,52,21
47B,201,66,80,48,55,22,48,59,22
47C,225,92,104,57,53,20,57,56,20
47D,231,108,122,61,49,15,61,51,17
48A,215,105,111,58,44,17,58,47,21
48B,229,113,122,62,46,16,62,48,19
48C,244,131,142,68,44,13,68,46,16
48D,258,165,177,77,36,8,77,37,12
49A,256,156,164,75,39,11,75,40,16
49B,253,179,180,80,28,10,80,29,19
49C,251,202,203,86,18,5,85,19,16
49D,253,217,220,90,13,2,90,13,10
50A,213,65,81,50,59,24,50,64,22
50B,224,92,106,57,53,18,57,56,19
50C,235,134,146,67,41,10,67,42,14
50D,246,189,197,82,22,3,82,22,8
51A,213,77,103,52,55,14,52,57,14
51B,220,102,122,58,48,11,58,50,13
51C,224,131,144,65,38,8,65,38,12
51D,232,160,169,73,28,5,73,29,11
52A,225,77,93,54,59,23,54,63,21
52B,234,98,122,60,55,14,60,56,13
52C,245,121,137,66,49,14,66,51,15
52D,253,154,164,74,39,10,74,40,15
53A,150,39,62,35,47,14,35,49,16
53B,176,56,76,42,50,16,42,53,17
53C,195,60,87,46,56,14,46,57,15
53D,206,75,104,51,54,11,51,55,12
54A,215,88,121,55,53,7,55,53,7
54B,223,101,128,59,51,8,59,51,9
54C,227,139,160,68,37,3,67,37,4
54D,244,173,186,78,28,3,78,28,6
55A,240,106,138,62,55,8,62,55,8
55B,240,139,172,69,43,-1,69,43,358
55C,247,170,195,78,32,-2,78,32,356
55D,250,195,212,84,23,-2,84,23,356
56A,244,190,206,82,22,-2,82,22,356
56B,247,200,213,85,19,-1,85,19,357
56C,246,208,221,87,16,-2,87,16,352
56D,248,217,227,90,13,-2,90,13,352
N57A,215,45,98,49,67,11,49,68,10
N57B,219,51,110,50,67,7,50,68,6
N57C,228,92,145,58,58,-2,58,58,358
N57D,231,121,164,65,48,-4,64,48,355
58A,171,65,97,43,47,4,43,47,5
58B,218,72,114,53,60,8,53,61,7
58C,235,93,132,59,58,6,59,59,7
58D,240,138,167,69,43,1,69,43,1
59A,123,49,68,31,35,4,31,35,7
59B,143,46,76,35,43,4,35,44,5
59C,163,54,91,40,48,3,40,48,3
59D,199,82,122,52,51,1,51,51,1
60A,154,45,75,36,47,8,36,48,9
60B,164,45,84,38,51,5,38,52,6
60C,172,59,101,43,50,1,42,50,0
60D,199,73,122,50,55,-1,50,55,359
61A,155,46,86,37,49,1,37,49,2
61B,186,50,99,44,58,4,44,58,3
61C,211,69,120,51,60,2,51,60,2
61D,244,112,153,64,55,2,64,55,2
62A,249,144,181,72,44,-2,72,44,357
62B,245,161,194,75,36,-5,75,36,352
62C,247,179,207,80,29,-5,80,29,350
62D,247,205,220,86,17,-3,86,18,351
63A,194,66,109,48,55,3,48,55,3
63B,212,86,135,55,54,-2,55,54,358
63C,233,137,176,68,42,-5,68,42,353
63D,240,167,196,76,31,-4,76,31,351
64A,163,60,104,41,47,-4,41,47,355
64B,183,66,116,46,52,-4,46,52,356
64C,213,86,145,55,56,-8,55,56,352
64D,227,124,166,65,45,-5,65,45,353
65A,244,153,190,73,39,-5,73,40,352
65B,248,182,209,81,28,-5,81,29,350
65C,244,195,216,83,21,-5,83,22,348
65D,245,205,222,86,17,-4,86,18,347
N66A,214,44,111,49,68,4,49,68,3
N66B,219,54,125,51,68,-1,51,68,359
N66C,229,105,164,61,55,-9,61,56,351
N66D,233,136,186,68,44,-11,68,45,346
67A,197,56,114,47,60,-1,47,60,359
67B,211,73,138,52,60,-7,52,60,353
67C,224,88,149,57,59,-6,57,59,354
67D,246,134,177,69,48,-4,69,48,355
68A,227,101,160,60,55,-8,60,56,351
68B,235,129,180,67,47,-9,67,48,349
68C,249,157,192,75,39,-4,75,39,354
68D,250,181,207,81,29,-4,81,30,352
69A,253,207,227,87,20,-5,87,20,347
69B,246,210,232,88,17,-7,88,18,337
69C,240,212,232,88,13,-7,88,15,332
69D,239,219,236,89,11,-7,89,13,327
70A,165,61,116,42,49,-10,42,50,349
70B,193,89,146,52,49,-12,52,50,346
70C,219,128,167,65,40,-6,65,41,351
70D,239,169,198,77,30,-5,77,31,350
71A,148,47,96,36,47,-6,36,47,352
71B,179,60,117,45,54,-7,44,54,353
71C,191,62,130,47,58,-11,47,59,350
71D,208,86,152,54,55,-13,54,57,347
72A,159,51,114,40,51,-12,39,53,346
72B,168,65,133,44,50,-17,44,53,341
72C,209,98,162,57,51,-15,57,53,344
72D,218,111,175,61,50,-16,61,52,343
73A,223,107,173,61,53,-15,61,55,345
73B,239,145,191,71,42,-9,71,43,347
73C,250,173,208,79,33,-7,79,34,348
73D,247,204,227,86,19,-6,86,20,341
N74A,193,50,140,46,64,-18,46,66,344
N74B,199,62,147,49,62,-18,49,64,344
N74C,214,118,184,62,46,-19,62,50,338
N74D,220,140,197,68,39,-18,68,43,336
75A,209,138,192,66,36,-18,66,40,333
75B,230,170,211,76,29,-13,76,31,336
75C,238,186,219,81,24,-10,81,26,337
75D,242,208,228,87,15,-6,87,17,338
76A,205,154,206,70,28,-20,70,35,324
76B,217,179,221,77,21,-17,77,27,322
76C,226,196,228,83,16,-13,83,21,322
76D,237,214,234,88,12,-8,88,14,326
77A,131,63,121,37,38,-20,37,43,331
77B,172,99,162,52,39,-23,52,45,330
77C,207,140,193,67,34,-18,66,38,332
77D,216,161,204,73,28,-15,73,31,332
N77A,91,57,67,28,16,0,28,16,359
N77B,146,75,113,42,35,-9,42,36,346
N77C,136,99,122,47,19,-8,47,20,338
N77D,154,104,132,50,25,-8,50,26,342
N78A,156,48,125,39,53,-21,39,57,339
N78B,179,73,153,48,53,-24,48,58,336
N78C,189,107,175,57,42,-23,56,48,332
N78D,198,130,186,63,35,-20,63,40,331
79A,93,57,85,29,21,-11,29,23,333
79B,103,61,100,32,26,-16,32,30,328
79C,120,68,116,37,31,-19,37,36,328
79D,135,88,131,44,27,-17,44,32,328
N79A,92,52,74,27,22,-6,27,22,344
N79B,105,55,82,30,27,-7,30,28,345
N79C,133,53,97,35,40,-9,35,41,347
N79D,144,80,129,43,34,-16,43,38,334
N80A,158,55,144,41,53,-29,41,60,332
N80B,176,91,172,52,46,-29,52,55,328
N80C,192,132,191,63,33,-22,63,40,326
N80D,203,148,203,68,30,-21,68,37,325
N81A,135,50,130,36,47,-28,36,55,329
N81B,159,74,159,45,48,-31,45,57,327
N81C,177,113,183,57,37,-27,57,46,323
N81D,196,144,198,66,29,-21,66,36,324
N82A,146,71,161,43,46,-36,43,58,322
N82B,167,107,184,54,37,-32,54,49,320
N82C,181,129,197,61,32,-28,61,43,319
N82D,191,147,204,67,27,-24,67,36,319
83A,100,58,103,31,27,-19,31,33,324
83B,114,67,123,36,30,-24,36,39,321
83C,126,82,140,42,29,-26,42,39,319
83D,145,95,157,48,32,-27,48,41,320
84A,160,108,174,53,33,-28,53,43,320
84B,204,144,198,67,31,-20,67,37,328
84C,219,173,214,76,24,-15,76,28,328
84D,222,202,231,84,12,-12,84,18,315
85A,174,142,190,63,22,-22,63,31,315
85B,180,157,205,68,18,-22,68,28,309
85C,198,175,220,75,17,-21,75,27,310
85D,218,203,229,84,11,-12,84,16,311
86A,99,65,115,33,25,-24,33,34,316
86B,122,80,144,41,30,-29,41,42,316
86C,137,98,161,48,28,-29,48,40,314
86D,150,114,177,54,26,-29,54,39,313
N87A,134,70,162,41,43,-40,41,58,318
N87B,154,91,183,49,42,-39,49,57,317
N87C,173,124,202,59,34,-34,59,48,315
N87D,191,148,216,67,29,-29,67,41,314
N88A,100,55,145,33,39,-43,33,58,312
N88B,126,79,172,43,39,-44,43,58,312
N88C,160,124,198,58,29,-34,58,45,310
N88D,177,148,208,66,23,-27,66,36,309
N89A,77,44,122,26,33,-40,26,52,310
N89B,77,44,123,26,33,-40,26,52,310
N89C,98,64,151,35,35,-43,35,55,308
N89D,107,75,166,39,34,-45,39,57,307
90A,102,77,139,38,25,-31,38,40,308
90B,115,88,151,43,25,-31,43,40,309
90C,138,101,169,49,28,-32,49,42,312
90D,144,117,181,54,24,-31,54,39,308
91A,152,130,198,59,23,-33,59,40,305
91B,181,163,217,70,18,-26,70,31,304
91C,201,185,228,78,14,-20,78,25,305
91D,222,207,237,85,11,-14,85,17,309
92A,136,111,186,52,26,-37,52,45,305
92B,167,149,209,65,19,-29,65,35,303
92C,192,179,223,75,14,-22,75,26,302
92D,219,206,233,84,10,-13,84,16,308
N92A,79,60,79,28,12,-9,28,15,325
N92B,71,56,98,27,16,-23,27,28,306
N92C,69,57,86,26,12,-16,26,20,307
N92D,91,68,105,33,18,-19,33,26,314
93A,70,58,112,28,19,-30,28,35,303
93B,108,72,151,38,32,-38,38,50,310
93C,119,99,171,47,25,-37,47,44,304
93D,150,137,196,60,18,-30,60,35,301
94A,85,73,150,36,26,-42,36,49,301
94B,119,102,177,48,24,-38,48,45,302
94C,148,127,199,58,24,-35,58,42,304
94D,163,153,211,66,16,-29,66,33,299
95A,59,58,120,28,19,-36,28,41,298
95B,61,62,142,30,24,-45,30,51,298
95C,94,97,174,44,20,-42,44,47,295
95D,175,174,220,73,10,-24,73,26,293
96A,80,71,146,34,24,-41,34,47,300
96B,92,88,173,42,25,-46,42,52,298
96C,104,99,179,46,23,-43,46,48,298
96D,126,126,198,55,18,-38,55,42,295
97A,140,141,205,61,15,-34,61,37,293
97B,164,166,214,70,10,-26,70,27,291
97C,196,192,228,79,9,-18,79,20,296
97D,218,210,237,86,8,-13,86,15,302
98A,75,93,166,41,15,-42,41,45,290
98B,100,116,179,50,11,-36,50,38,287
98C,124,141,196,59,8,-32,59,33,284
98D,148,162,208,67,6,-26,67,26,283
99A,56,58,116,27,17,-35,27,38,296
99B,59,66,142,31,21,-44,31,49,296
99C,56,76,160,35,20,-49,35,53,293
99D,59,85,174,39,20,-51,39,55,291
100A,53,83,174,38,20,-53,38,56,291
100B,104,126,205,54,14,-44,54,47,288
100C,142,154,218,65,11,-34,65,36,288
100D,182,186,229,77,8,-23,76,24,289
101A,57,97,187,43,16,-52,43,55,288
101B,93,123,205,53,13,-47,53,48,286
101C,135,160,220,66,7,-34,66,35,281
101D,182,199,235,80,2,-20,80,21,276
102A,53,66,120,29,12,-33,29,35,290
102B,65,82,142,36,12,-36,36,38,288
102C,74,92,155,41,12,-37,40,39,288
102D,95,111,175,48,11,-36,48,38,288
103A,57,54,81,24,8,-16,24,18,297
103B,58,62,108,28,12,-28,28,30,293
103C,55,65,122,29,14,-34,29,37,292
103D,62,82,135,36,9,-33,36,34,285
104A,46,81,161,36,15,-47,36,50,288
104B,83,117,194,50,11,-45,50,46,284
104C,97,135,209,57,9,-43,57,44,281
104D,142,169,223,69,4,-31,69,31,277
105A,45,68,139,31,16,-43,31,46,290
105B,30,79,160,35,15,-49,35,51,287
105C,26,97,180,41,10,-51,41,52,282
105D,68,127,205,53,6,-47,53,47,277
106A,102,152,216,62,2,-39,62,39,272
106B,136,171,226,69,2,-32,69,32,274
106C,169,190,230,77,2,-23,77,23,275
106D,199,208,236,84,3,-16,84,16,280
107A,26,105,185,44,7,-49,44,50,278
107B,58,133,207,54,2,-46,54,46,272
